oec_index,env_index,prtvtfch
3.25,3.16,1
2.1675,1.4,1
3.75,2.76,1
2.5825,1.96,1
3.25,1.76,1
1.8325,1.72,1
2.9175,2.6,1
3.4175,2.8,1
3.1675,2.12,1
2.75,1.4,1
2.9175,1.8,1
2.6675,1.76,1
4,3.04,1
3.4175,2.52,1
2.9175,2,1
3.75,2.72,1
4,3.16,1
2.9175,2.68,1
2.6675,2.72,1
5,3.92,1
4.75,3.2,1
2.9175,2.72,1
3.1675,1.2,1
3.25,2.12,1
3.4175,3.12,1
2.9175,2.36,1
2.9175,2.36,1
2.5825,2,1
2.3325,2.16,1
2.3325,2.36,1
3,1.6,1
3.1675,1.92,1
3.25,2.52,1
3.1675,2.6,1
3.0825,2.16,1
2.5825,1.8,1
3.5,2.56,1
2.3325,2.16,1
3.4175,3.56,1
2.5825,3,1
3.75,2.6,1
4.1675,2.4,1
4.25,2.56,1
2.3325,2.4,1
2.9175,2.36,1
3.5,3.44,1
2.3325,1.8,1
4,1.6,1
3.3325,3.56,1
3.0825,2.4,1
3,1.96,1
2.25,2.76,1
2.4175,2.16,1
2.6675,2,1
3.25,1.6,1
3.0825,2.4,1
2.9175,2.36,1
3.25,2.16,1
3.75,2.6,1
3.0825,2.8,1
3.4175,2.36,1
4.5,2.2,1
3.1675,3.24,1
2.1675,1.8,1
2.5,2.16,1
2,1.6,1
3.4175,2.6,1
2.75,2.68,1
3.4175,1.96,1
3.4175,2,1
2.75,2.16,1
3.75,2.96,1
3.25,2,1
1.75,1.8,1
2.9175,2.32,1
4,2.76,1
2.4175,2.36,1
2.6675,1.76,1
4.1675,2.96,1
2.9175,2.16,1
3.4175,2.56,1
2.6675,1.96,1
3.0825,2.8,1
2.5825,3.52,1
4,2.92,1
2.75,2.56,1
3.1675,2,1
3.4175,3,1
4.25,2.56,1
3.4175,3.12,1
2.4175,2.32,1
2.9175,2.36,1
3.5,2.16,1
3.5,2.92,1
3.4175,1.96,1
2.8325,2,1
2.4175,2.32,1
2.6675,2.36,1
3.75,1.8,1
3.25,2.72,1
3,2.16,1
4.5,2.56,1
4,2.96,1
2.8325,3.16,1
3.4175,2.16,1
3.4175,2.12,1
3.4175,2.2,1
2.9175,2,1
3.75,2.32,1
2.9175,2.16,1
2.9175,1.96,1
3.25,1.6,1
3.6675,2.16,1
3.1675,2.92,1
2.4175,2.2,1
2.9175,2,1
4,2.76,1
3.4175,2.96,1
3.0825,3.68,1
3.75,3.12,1
2.5825,2.36,1
2.5825,2.16,1
3.1675,2,1
4.25,3.48,1
2.9175,2.16,1
2.75,1.8,1
2.9175,2.72,1
3.75,2.16,1
3.25,1.76,1
2.8325,3.08,1
3.25,2.2,1
3.1675,2.72,1
3.0825,2.4,1
2.8325,2.52,1
2.9175,2.56,1
2.75,1.4,2
2.1675,2,2
2.4175,1.6,2
2.8325,2,2
2.9175,2.88,2
1.3325,1.2,2
1.8325,1.52,2
1.5825,1.36,2
2.0825,1.56,2
1.9175,1.8,2
2.3325,2,2
1.8325,1.96,2
1.75,1.2,2
1.8325,2.2,2
2.5825,1.6,2
2.6675,2.56,2
1.8325,1.96,2
2.0825,1.96,2
1.8325,1.56,2
2.3325,2,2
2.4175,1.56,2
1.8325,1.56,2
1.8325,1.6,2
2.9175,2,2
4,2.56,2
2.6675,2.56,2
1.3325,1.76,2
3.1675,2.4,2
2.0825,1.2,2
2.0825,1.4,2
2.9175,1.96,2
2.9175,2.96,2
3.4175,2.36,2
2.6675,1.92,2
2.0825,2,2
1.8325,1.76,2
1.5,1.56,2
2,4.08,2
3.4175,2.4,2
2.4175,2.52,2
2.3325,1.76,2
2.8325,1.6,2
3.6675,2.52,2
3.1675,1.76,2
1.8325,2.4,2
3.6675,1.6,2
2.6675,1.4,2
2.9175,2.4,2
3.75,2.2,2
2.4175,1.96,2
1,1.36,2
2.5,1.4,2
2.5825,1.6,2
1.25,1.56,2
3.0825,2.4,2
2.3325,1.4,2
1.5825,1.6,2
3.75,2.2,2
2.5825,2.36,2
2.9175,2.52,2
3.1675,1.96,2
2.9175,3,2
1.9175,1.56,2
2.3325,1.76,2
3.3325,2.96,2
2.1675,1.56,2
2.25,1.56,2
2.6675,1.8,2
2.6675,2.96,2
1.5825,1.2,2
2.75,1.52,2
1.8325,2.16,2
2.25,2.2,2
2.3325,2.2,2
2.9175,2.16,2
2.0825,1.8,2
2.6675,2.76,2
2.1675,1.76,2
1.8325,2.16,2
2.5825,2,2
1.5825,1.76,2
2.3325,2.12,2
2.6675,2.72,2
2.25,2.72,2
1.8325,1.6,2
1.8325,1.76,2
2.5825,1.76,2
2.9175,2.36,2
1.8325,1.4,2
2.6675,2.16,2
2.3325,1.6,2
2.9175,1.76,2
2.4175,2.16,2
2.6675,2.36,2
2.0825,1.8,2
2.0825,1.6,2
2.5825,2.72,2
2,2.2,2
2.6675,1.68,2
1.5825,1,2
3.1675,2,2
2.0825,3.72,2
3.25,1.56,2
2.4175,1.8,2
2.0825,1.56,2
2.1675,1.92,2
1.5,1.16,2
2.4175,1.76,2
3.6675,2.36,2
3,2.56,2
2.6675,2.36,2
3.1675,2.12,2
3.25,2.36,2
2.0825,2.16,2
2.6675,2.68,2
3.4175,3.28,2
1.75,1.36,2
2.4175,1.6,2
1.5825,1.2,2
2.1675,1.6,2
2.3325,2.36,2
3.0825,2.72,2
2.0825,2.2,2
3.1675,2.36,2
1.25,1.76,2
3.4175,2.96,3
3.5,2.16,3
3.5,3.4,3
2.4175,2.72,3
2.9175,2.56,3
2.4175,1.2,3
3.75,2.4,3
2.3325,1.4,3
3.4175,2.72,3
2.4175,1.72,3
2.4175,2.72,3
3.4175,2.76,3
3.75,2.32,3
3,2.4,3
2.9175,2.12,3
3.75,2.16,3
3.25,2.72,3
3.1675,2.36,3
3,2.72,3
4,2.76,3
2.9175,2.8,3
2,1.8,3
2.75,2.16,3
3.75,2.76,3
4.25,2.56,3
4,3.08,3
2.8325,2.52,3
2.4175,2.16,3
3.4175,3.2,3
3.0825,2.92,3
3.4175,3.12,3
2.9175,1.56,3
3.1675,2.16,3
3.75,2.12,3
3.1675,1.4,3
3.75,3.12,3
3.75,1.96,3
3.5,2.56,3
3,2.8,3
3.25,1.96,3
3.4175,2.52,3
2.1675,2.16,3
2.9175,2.2,3
3.25,1.96,3
3.5,2.36,3
3.4175,2.72,3
2.3325,2,3
3.0825,2.4,3
3.25,2.56,3
3.6675,3.56,3
4,2.36,3
4.75,2.72,3
4.25,2.36,3
3.1675,3.12,3
3.1675,1.8,3
2.9175,2.56,3
2.1675,2.52,3
2.0825,1.56,3
3.25,2.56,3
2.0825,1.56,3
3.1675,2.96,3
2.9175,2.28,3
3.4175,2.8,3
3.3325,2,3
3.1675,2.4,3
4.75,3.16,3
2.4175,1.72,3
3.0825,2.68,3
3.5,2.72,3
4,1.8,3
4.25,2.88,3
3,1.4,3
4.75,3.56,3
2.75,2.12,3
3.75,2.36,3
2.9175,1.76,3
3.4175,3.36,3
3,1.56,3
2.9175,2,3
2.4175,1.96,3
3.75,2.72,3
2.9175,1.76,3
3.25,2.4,3
2.9175,2.16,3
3.0825,2.36,3
2.9175,1.76,3
2.0825,1.72,3
3.1675,2.92,3
2.6675,2.36,3
3.1675,2.56,3
3.25,2.28,3
2.6675,1.6,3
2.4175,1.76,3
2.75,1.72,3
3.5,1.92,3
2.9175,2.36,3
2.8325,2,3
3.75,2.36,3
2.9175,2.16,3
2.9175,1.76,3
3.1675,2.76,3
4.25,2.92,3
3.1675,2.96,3
2.5825,1.6,3
2.4175,1.76,3
4.25,3.32,3
3.75,2.56,3
3.4175,1.8,3
2.5825,3.12,3
2.6675,1.6,3
3.9175,2.52,3
3.1675,2.72,3
4,2.52,3
3.4175,2.72,3
2.9175,2.2,3
2.5825,1.96,3
3.75,2.72,3
3.75,2.6,3
2.9175,1.96,3
3.4175,2.36,3
3.1675,1.76,3
2.9175,2.36,3
3.1675,2.32,3
4,1.8,3
3.75,3.16,3
2.25,2.4,3
1.8325,1.16,3
2.3325,2.16,3
3.75,2,3
2.6675,2.32,3
4.5,2.8,3
4.1675,2.92,3
3.1675,3.12,3
3.4175,1.96,3
3.25,2.16,3
2.9175,2.32,4
2.5,1.6,4
2.4175,2,4
2.6675,2.48,4
2.0825,2.96,4
3.5,2.28,4
1.8325,1.72,4
2.8325,2.2,4
3.4175,3.2,4
2.25,1.6,4
2.6675,1.6,4
2.9175,3.16,4
2.0825,1.96,4
2.9175,1.76,4
2.6675,1.96,4
3.4175,2.32,4
2.6675,2.2,4
2.6675,1.96,4
2.6675,2.16,4
3.4175,2.76,4
3,1.4,4
3.5,2.72,4
3.5,2.16,4
2.0825,1.4,4
3.9175,3.36,4
3.1675,1.4,4
2.5825,1.96,4
2.4175,1.96,4
1.9175,1.8,4
2.5825,2.32,4
3.25,1.92,4
3,1.2,4
3.4175,2.16,4
2.9175,1.76,4
2.5825,2.32,4
2.25,1.76,4
2.6675,1.8,4
2.8325,3.32,4
3.1675,2.96,4
3.4175,2.2,4
1.9175,1.4,4
2.6675,2.52,4
3,2.16,4
1.25,1.56,4
3.25,2.32,4
3.1675,1.76,4
3.25,2.56,4
3.4175,2.4,4
3.25,2.36,4
4.25,1.8,4
2.9175,2.32,4
1.9175,1.92,4
2.4175,1.4,4
4.25,2.96,4
2.0825,1.76,4
2.9175,2.92,4
2.9175,2.56,4
2.9175,1.8,4
2.6675,1.96,4
2.8325,2.52,4
3.1675,2.4,4
3.5825,2.56,4
2.9175,1.4,4
4,2.56,4
3.25,2.72,4
2.6675,2.28,4
2.9175,2,4
2.3325,1.56,4
2.6675,2.32,4
2.4175,1.92,4
2.9175,2.36,4
1.5,1.4,4
2.9175,2.92,4
2.9175,1.76,4
3.6675,2.8,4
3.1675,2.72,4
2.5825,2.6,4
3,1.92,4
3.25,1.8,4
3.25,2.88,4
3.75,1.8,4
2.75,2,4
2.9175,2,4
2.8325,2,4
4,2.36,4
3.5,2.36,4
3.5,2.68,4
2.4175,1.96,4
2.75,2.96,4
3.5,2.4,4
2.9175,2,4
2.9175,1.76,4
3.6675,3.36,4
2.8325,2.32,4
2.9175,2.16,4
3.75,3.52,4
3.25,2.36,4
3.1675,1.96,4
4.25,2.72,4
2.5,1.56,4
3,2,4
2.6675,2.2,4
2.3325,1.2,4
2.5825,3.32,4
2.1675,1.4,4
2.9175,1.76,4
2.0825,1.8,4
4,3.12,4
3,2.52,4
3.1675,2.56,4
3.0825,2.12,4
2.4175,2.12,5
2.5,1.76,5
2.3325,2.36,5
2.6675,2,5
2.4175,2.32,5
2.75,1.6,5
2.1675,1.2,5
1.3325,1.36,5
1,1.2,5
1.8325,1.56,5
2.4175,2.16,5
2.75,1.8,5
2.75,1.36,5
1.9175,1.6,5
3.5,2.2,5
3.4175,2.32,5
2.1675,1.72,5
2.1675,1.36,5
2.1675,1.4,5
1.5825,1.96,5
3.1675,1.56,5
2.3325,2.8,5
2.4175,1.92,5
2.1675,1.4,5
2,2.4,5
2.6675,2.36,5
1.25,1.4,5
1.5825,1.2,5
2.0825,1.56,5
1.5825,1.2,5
1.8325,2.32,5
3.25,3.04,5
2.0825,1.76,5
3.4175,2.56,5
1.5,1.2,5
1.5825,1.8,5
3.3325,2.36,5
1,1.96,5
3.0825,2.16,5
2.3325,1.2,5
2.9175,2,5
2.4175,1.4,5
2.3325,1.6,5
2.4175,1.8,5
3.0825,1.6,5
1.5,2,5
2.5825,2.4,5
2.4175,2.36,5
2.1675,1.4,5
1.8325,1.36,5
1.8325,1.2,5
1.5,1.2,5
1.3325,1.8,5
1.5,1.4,5
1.75,1.6,5
1.9175,1.96,5
1.75,1.4,5
2.0825,1.96,5
2.1675,1.6,5
2.4175,1.4,5
2.75,2.2,5
2.3325,1.2,5
1.5,1.56,5
3.6675,2.2,6
2.9175,2.12,6
2.4175,2.56,6
1.8325,1.4,6
2.25,2,6
1.9175,2.12,6
3.1675,2.2,6
1.8325,1.4,6
2.6675,2.2,6
4,3.28,6
1.5825,1.56,6
2.5,1.4,6
2.4175,1.2,6
3.4175,2.16,6
2.0825,1.56,6
1.8325,2.8,6
2.6675,2.32,6
2.6675,2.76,6
2.8325,2.56,6
1.25,1.76,6
2.75,1.2,6
3.25,1.4,6
3,1.4,6
2.9175,2.56,6
2.4175,1.2,6
2.0825,1.4,6
3.1675,1.8,6
3,2,6
2,1.76,6
2.3325,2,6
2.4175,1.6,6
3.25,1.36,6
2.5825,2.32,6
2.9175,2.16,6
1.6675,1.2,6
3.9175,3.16,6
2.0825,1.8,6
2.3325,2.16,6
2,1.16,6
2.5,1.92,6
1.5825,1.36,6